id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,CIPRO,CEFTRIAXONE,AMOXICILLIN
GENOME_0424,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,2,5,6,3,4,5,7,3,4,6,0,3,2,6,4,0.17,0.79,0.97,0.41,0.59,0.87,0.22,0.5,0.35,0.98,S,R,R
GENOME_0425,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,3,4,7,3,6,3,2,1,5,0,10,2,0,2,0.34,0.68,0.69,0.24,0.14,0.9,0.39,0.43,0.26,0.66,R,S,S
GENOME_0426,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,8,4,8,7,1,1,6,1,0,9,1,1,1,9,7,0.2,0.65,0.54,0.68,0.53,0.83,0.23,0.22,0.07,0.81,R,S,R
GENOME_0427,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,9,4,7,5,0,8,4,2,6,3,2,6,2,0,4,0.69,0.74,0.24,0.36,0.04,0.92,0.36,0.46,0.2,0.66,I,S,S
GENOME_0428,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,6,2,2,5,1,6,7,2,9,9,0,6,1,7,7,0.12,0.59,0.33,0.8,0.06,0.94,0.33,0.51,0.12,0.42,S,S,S
GENOME_0429,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,10,3,3,2,4,2,3,1,8,10,2,4,1,4,8,0.27,0.98,0.3,0.77,0.08,0.96,0.09,0.56,0.27,0.86,R,I,I
GENOME_0430,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,7,4,6,7,0,8,7,2,3,5,2,0,2,5,1,0.43,0.78,0.7,0.18,0.22,0.89,0.05,0.51,0.04,0.9,R,S,R
GENOME_0431,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,1,9,4,2,1,2,3,9,6,0,0,3,3,0.26,0.69,0.61,0.43,0.27,0.92,0.27,0.36,0.07,1.0,S,S,S
GENOME_0432,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,1,9,2,1,2,6,4,10,0,3,9,0.36,0.43,0.91,0.71,0.16,0.78,0.14,0.36,0.25,0.79,S,S,S
GENOME_0433,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,10,2,8,2,0,7,3,0,2,9,2,6,2,9,0,0.4,0.44,0.68,0.61,0.06,0.94,0.04,0.2,0.05,0.77,R,S,S
GENOME_0434,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,8,1,8,5,4,6,2,1,1,3,4,9,0,8,9,0.38,0.75,0.7,0.52,0.1,0.7,0.22,0.31,0.1,0.89,R,S,R
GENOME_0435,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,10,2,5,3,3,2,6,3,2,8,3,0,2,7,8,0.64,0.27,0.39,0.42,0.11,0.83,0.18,0.74,0.08,0.94,R,S,S
GENOME_0436,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,2,3,5,5,2,4,6,0,4,4,2,1,2,3,9,0.17,0.78,0.07,0.63,0.47,0.59,0.26,0.52,0.02,0.97,S,R,S
GENOME_0437,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,2,5,5,9,1,6,1,2,7,9,3,3,2,6,7,0.17,0.72,0.95,0.41,0.3,0.67,0.24,0.7,0.57,0.75,S,R,S
GENOME_0438,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,8,5,5,4,3,2,5,3,7,3,2,4,0,7,1,0.59,0.89,0.8,0.85,0.44,0.92,0.05,0.26,0.08,0.96,R,S,R
GENOME_0439,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,3,4,2,6,4,1,7,0,4,5,4,10,1,6,10,0.53,0.77,0.18,0.65,0.21,0.86,0.08,0.43,0.08,0.85,S,S,R
GENOME_0440,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,7,4,3,3,4,8,6,1,10,5,4,0,1,4,5,0.11,0.8,0.59,0.64,0.79,0.74,0.11,0.39,0.12,0.54,R,S,S
GENOME_0441,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,10,0,5,10,0,1,5,2,0,9,3,0,0,9,4,0.12,0.85,0.46,0.51,0.32,0.87,0.06,0.55,0.13,0.67,R,S,R
GENOME_0442,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,3,4,0,4,3,2,4,0,9,5,1,2,0,0,4,0.16,0.89,0.63,0.37,0.44,0.71,0.15,0.19,0.02,0.8,S,S,S
GENOME_0443,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,4,0,2,4,0,2,1,1,8,1,0,1,5,2,0.17,0.77,0.42,0.55,0.61,0.74,0.02,0.66,0.22,0.33,S,R,R
GENOME_0444,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,4,5,6,8,0,0,4,0,7,5,1,2,1,7,0,0.29,0.51,0.13,0.48,0.24,0.79,0.16,0.5,0.03,0.88,S,I,R
GENOME_0445,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,10,1,0,6,2,0,3,1,9,9,2,4,1,5,10,0.32,0.91,0.56,0.6,0.18,0.78,0.15,0.29,0.09,0.99,S,S,S
GENOME_0446,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2,2,4,10,2,9,4,3,8,5,1,2,1,7,5,0.55,0.34,0.81,0.6,0.66,0.71,0.05,0.4,0.16,0.84,R,I,S
GENOME_0447,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,4,7,4,0,2,6,3,10,8,3,9,2,5,5,0.19,0.83,0.22,0.28,0.1,0.86,0.34,0.57,0.41,0.84,S,S,S
GENOME_0448,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,2,3,5,2,3,5,1,2,6,7,1,7,2,1,4,0.48,0.7,0.19,0.32,0.11,0.95,0.34,0.37,0.15,0.84,S,I,S
GENOME_0449,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,2,8,0,9,4,1,8,3,3,4,1,5,8,0.2,0.55,0.65,0.66,0.12,0.79,0.09,0.41,0.24,0.89,S,I,R
GENOME_0450,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,3,1,1,9,0,2,6,0,8,3,3,10,2,8,9,0.15,0.73,0.85,0.66,0.13,0.92,0.01,0.48,0.37,0.76,R,R,S
GENOME_0451,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,8,0,1,3,3,3,3,2,10,3,5,4,1,1,8,0.08,0.79,0.18,0.52,0.37,0.76,0.09,0.42,0.08,0.81,I,I,S
GENOME_0452,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,3,3,2,1,3,2,5,3,2,5,0,2,9,0.36,0.75,0.16,0.24,0.63,0.69,0.12,0.45,0.29,0.91,S,S,S
GENOME_0453,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,5,1,8,10,4,6,1,1,5,6,5,3,2,8,0,0.2,0.73,0.73,0.11,0.41,0.95,0.24,0.24,0.21,0.93,S,S,S
GENOME_0454,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,9,2,8,5,2,3,2,3,6,9,4,4,2,6,6,0.42,0.9,0.4,0.38,0.35,0.81,0.21,0.64,0.36,0.87,R,I,R
GENOME_0455,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,8,3,0,2,3,10,5,2,0,5,2,5,0,0,5,0.27,0.94,0.6,0.7,0.35,0.84,0.28,0.39,0.19,0.79,R,S,S
GENOME_0456,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,3,2,4,10,1,0,1,0,10,7,2,5,1,3,2,0.42,0.81,0.28,0.6,0.47,0.87,0.09,0.57,0.43,0.54,S,R,R
GENOME_0457,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,5,0,8,10,3,3,5,2,8,10,0,4,2,3,3,0.31,0.77,0.76,0.81,0.29,0.81,0.2,0.59,0.42,0.9,R,S,I
GENOME_0458,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,2,0,3,7,2,3,1,1,0,8,1,9,2,9,3,0.38,0.63,0.34,0.71,0.2,0.78,0.36,0.57,0.02,0.63,S,S,S
GENOME_0459,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,2,4,6,7,2,10,1,3,7,6,1,5,2,4,3,0.22,0.85,0.54,0.39,0.6,0.88,0.18,0.6,0.15,0.75,S,S,I
GENOME_0460,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,9,2,5,10,3,2,4,1,9,9,3,8,1,6,6,0.27,0.8,0.41,0.39,0.14,0.95,0.52,0.65,0.03,0.99,R,S,I
GENOME_0461,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,9,5,3,3,3,7,4,2,1,3,4,7,2,4,3,0.14,0.68,0.55,0.72,0.3,0.72,0.23,0.3,0.17,0.9,R,I,I
GENOME_0462,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,7,2,6,10,3,6,4,0,9,10,5,3,0,9,9,0.34,0.68,0.03,0.75,0.01,0.84,0.26,0.26,0.48,0.89,R,R,S
GENOME_0463,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0,6,5,2,9,1,2,10,8,1,1,2,5,5,0.41,0.95,0.08,0.24,0.55,0.92,0.1,0.3,0.01,0.8,S,S,S
GENOME_0464,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,7,5,1,5,0,9,4,2,6,3,1,3,0,8,0,0.41,0.72,0.77,0.24,0.55,0.88,0.27,0.56,0.2,0.82,R,I,R
GENOME_0465,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,8,2,6,10,1,2,6,3,4,8,6,5,0,1,7,0.37,0.49,0.05,0.59,0.11,0.86,0.09,0.52,0.17,0.52,S,I,S
GENOME_0466,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,3,8,8,0,3,1,1,7,7,4,9,1,5,3,0.08,0.55,0.24,0.45,0.22,0.71,0.26,0.37,0.03,0.91,S,S,S
GENOME_0467,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,6,4,5,6,2,7,4,3,10,9,1,6,1,5,2,0.15,0.87,0.65,0.44,0.09,0.68,0.21,0.34,0.08,0.72,S,S,S
GENOME_0468,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,4,5,9,0,9,5,2,9,3,0,10,2,0,8,0.14,0.52,0.67,0.44,0.02,0.85,0.37,0.6,0.25,0.95,S,I,I
GENOME_0469,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6,3,5,2,3,2,2,0,6,3,6,3,0,5,1,0.48,0.67,0.55,0.2,0.11,0.92,0.01,0.6,0.08,0.95,S,S,S
GENOME_0470,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,10,1,1,8,4,4,4,0,7,3,1,10,0,6,7,0.48,0.58,0.6,0.45,0.14,0.83,0.3,0.19,0.06,0.91,R,I,S
GENOME_0471,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,2,5,5,5,3,4,3,3,1,3,0,10,1,6,10,0.38,0.57,0.86,0.35,0.15,0.62,0.07,0.49,0.12,0.83,R,R,I
GENOME_0472,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,5,5,3,1,4,6,0,9,6,2,2,2,2,5,0.27,0.71,0.78,0.54,0.47,0.89,0.12,0.44,0.14,0.41,S,S,S
GENOME_0473,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,2,8,3,3,4,2,0,10,6,2,0,2,7,5,0.39,0.69,0.72,0.71,0.12,0.57,0.11,0.52,0.07,0.98,R,S,S
GENOME_0474,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,8,1,1,10,4,8,3,0,8,6,0,6,0,6,9,0.28,0.56,0.19,0.82,0.18,0.91,0.22,0.42,0.03,0.93,R,I,S
GENOME_0475,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,3,1,8,7,2,9,2,2,5,3,5,0,2,3,5,0.21,0.59,0.5,0.38,0.27,0.49,0.2,0.28,0.15,0.9,S,S,S
GENOME_0476,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,2,4,5,0,4,4,0,10,4,5,7,2,3,1,0.34,0.93,0.99,0.77,0.33,0.73,0.07,0.8,0.02,0.94,S,S,S
GENOME_0477,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,5,8,3,3,10,7,3,5,6,3,4,0,9,10,0.08,0.75,0.75,0.58,0.03,0.83,0.11,0.49,0.03,0.92,R,S,S
GENOME_0478,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,4,0,1,8,0,10,5,0,5,9,0,7,1,6,6,0.41,0.48,0.99,0.51,0.05,0.88,0.09,0.41,0.28,0.95,S,S,S
GENOME_0479,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,7,2,4,10,1,8,4,2,0,10,6,1,2,1,7,0.4,0.89,0.59,0.43,0.16,0.89,0.09,0.47,0.04,0.9,S,S,S
GENOME_0480,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,2,0,1,3,0,8,6,2,6,10,3,2,1,4,7,0.47,0.79,0.59,0.91,0.38,0.87,0.11,0.62,0.35,0.94,S,S,S
GENOME_0481,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,8,3,4,5,1,10,7,0,1,5,4,3,2,5,9,0.6,0.63,0.95,0.57,0.4,0.89,0.19,0.66,0.34,0.62,R,R,S
GENOME_0482,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,8,0,6,2,1,9,1,3,1,5,4,1,1,3,6,0.2,0.69,0.59,0.36,0.15,0.9,0.09,0.43,0.22,0.95,I,S,R
GENOME_0483,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,10,1,6,2,3,3,7,0,4,4,6,3,2,0,6,0.19,0.71,0.23,0.18,0.24,0.96,0.11,0.64,0.02,0.86,S,S,S
GENOME_0484,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,9,1,6,4,4,8,7,1,5,7,0,5,2,0,4,0.6,0.72,0.67,0.33,0.22,0.97,0.55,0.46,0.12,0.73,S,S,S
GENOME_0485,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,2,0,10,3,3,0,5,6,10,2,2,3,0.15,0.31,0.41,0.15,0.21,0.66,0.33,0.27,0.4,0.94,S,S,R
GENOME_0486,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,7,5,6,5,1,1,2,3,0,8,3,6,2,8,3,0.38,0.73,0.06,0.41,0.4,0.63,0.11,0.66,0.2,0.84,S,S,S
GENOME_0487,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,5,5,5,7,1,2,5,3,0,7,2,5,2,1,1,0.44,0.52,0.77,0.77,0.18,0.96,0.05,0.7,0.32,0.82,R,R,S
GENOME_0488,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,10,0,6,6,1,0,3,3,6,5,0,6,0,4,3,0.37,0.76,0.74,0.27,0.21,0.86,0.28,0.49,0.04,0.76,S,I,S
GENOME_0489,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,5,1,4,10,2,10,5,3,0,8,0,1,2,6,6,0.22,0.5,0.01,0.49,0.04,0.79,0.16,0.72,0.08,0.9,S,R,I
GENOME_0490,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,4,1,3,0,6,3,0,8,4,3,0,0,1,1,0.14,0.41,0.75,0.48,0.16,0.94,0.19,0.38,0.07,0.84,S,S,S
GENOME_0491,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,7,2,8,3,0,9,4,0,2,6,4,8,2,0,10,0.06,0.46,0.73,0.49,0.07,0.76,0.14,0.29,0.14,0.68,S,S,S
GENOME_0492,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,6,1,1,4,1,10,7,3,9,9,5,6,1,6,6,0.41,0.89,0.38,0.17,0.23,0.6,0.22,0.32,0.34,0.87,I,R,S
GENOME_0493,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,5,2,5,0,8,6,3,1,7,6,10,1,4,8,0.56,0.78,0.12,0.75,0.48,0.9,0.17,0.63,0.14,0.85,S,I,S
GENOME_0494,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,3,0,8,10,0,2,1,1,5,8,2,1,1,6,9,0.36,0.79,0.25,0.32,0.55,0.88,0.25,0.31,0.21,0.99,S,S,I
GENOME_0495,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,4,1,1,7,2,7,3,2,1,10,3,6,0,0,2,0.05,0.77,0.61,0.59,0.08,0.92,0.11,0.84,0.03,0.78,S,S,S
GENOME_0496,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,8,0,7,10,1,0,7,2,4,8,6,3,0,5,7,0.4,0.58,0.07,0.59,0.54,0.89,0.1,0.67,0.45,0.76,R,S,R
GENOME_0497,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,9,2,2,6,0,5,5,3,4,7,3,2,1,5,4,0.44,0.72,0.94,0.4,0.22,0.52,0.19,0.14,0.0,0.59,R,S,R
GENOME_0498,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,5,10,4,5,4,3,8,4,6,3,0,6,9,0.43,0.96,0.27,0.18,0.19,0.67,0.39,0.17,0.1,0.89,R,S,R
GENOME_0499,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,6,2,8,10,1,4,7,2,3,10,2,4,1,7,9,0.11,0.38,0.96,0.15,0.1,0.88,0.09,0.46,0.16,0.97,S,R,R
GENOME_0500,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,1,2,2,0,3,2,0,7,7,5,8,2,8,9,0.37,0.68,0.16,0.31,0.69,0.89,0.17,0.27,0.19,0.86,S,I,S
GENOME_0501,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,5,8,10,2,2,2,1,6,5,6,3,2,9,3,0.51,0.46,0.3,0.51,0.1,0.61,0.27,0.75,0.19,0.94,S,S,R
GENOME_0502,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,9,4,6,8,4,3,6,1,6,6,5,8,2,4,10,0.56,0.88,0.97,0.68,0.08,0.92,0.36,0.61,0.23,0.79,I,S,I
GENOME_0503,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,4,9,3,6,4,3,0,3,0,3,2,3,7,0.2,0.55,0.76,0.67,0.46,0.8,0.23,0.51,0.0,0.89,S,S,I
GENOME_0504,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,4,2,7,4,3,6,7,0,5,4,0,0,0,4,9,0.06,0.92,0.43,0.8,0.14,0.6,0.1,0.53,0.01,0.84,S,R,R
GENOME_0505,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,9,5,5,2,4,2,6,0,5,10,1,10,1,9,0,0.18,0.85,0.65,0.6,0.59,0.87,0.33,0.27,0.21,0.71,I,S,R
GENOME_0506,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,3,6,5,3,10,7,0,9,7,6,10,0,4,6,0.57,0.83,0.41,0.56,0.29,0.61,0.13,0.55,0.19,0.96,S,S,S
GENOME_0507,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,6,3,2,2,4,9,2,0,7,7,6,10,1,8,8,0.3,0.79,0.33,0.26,0.57,0.78,0.12,0.54,0.25,0.82,S,S,R
GENOME_0508,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,3,5,2,0,2,5,3,5,10,6,0,2,6,6,0.17,0.82,0.59,0.46,0.34,0.72,0.1,0.85,0.12,0.77,S,S,S
GENOME_0509,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,5,1,2,5,3,2,6,2,7,7,2,3,1,1,8,0.27,0.67,0.95,0.83,0.18,0.52,0.36,0.39,0.0,0.91,S,S,S
GENOME_0510,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,5,0,6,9,3,4,1,3,5,7,6,3,0,1,6,0.07,0.57,0.04,0.41,0.12,0.9,0.69,0.68,0.31,0.92,I,R,S
GENOME_0511,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,4,5,2,4,0,6,1,7,4,3,9,1,0,1,0.35,0.88,0.35,0.77,0.53,0.8,0.27,0.67,0.14,0.69,S,S,I
GENOME_0512,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,6,5,7,10,0,9,7,1,4,5,1,6,2,1,4,0.11,0.96,0.39,0.22,0.41,0.77,0.16,0.42,0.08,0.96,S,R,S
GENOME_0513,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,7,4,7,7,0,10,4,3,8,5,1,0,0,1,3,0.52,0.51,0.68,0.72,0.52,0.96,0.06,0.69,0.09,0.9,I,I,S
GENOME_0514,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,2,5,5,6,1,6,1,1,3,6,1,4,0,4,9,0.09,0.76,0.42,0.48,0.1,0.77,0.42,0.57,0.16,0.68,S,S,S
GENOME_0515,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,9,1,1,10,1,7,1,2,5,6,0,9,1,8,7,0.19,0.53,0.65,0.74,0.19,0.91,0.22,0.25,0.12,0.94,R,S,S
GENOME_0516,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,5,10,0,6,4,2,10,3,4,7,2,6,9,0.34,0.92,0.95,0.35,0.04,0.56,0.43,0.69,0.06,0.69,R,I,R
GENOME_0517,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,10,4,7,3,3,1,5,1,7,1,4,8,0.42,0.54,0.7,0.47,0.01,0.62,0.22,0.38,0.44,0.88,S,S,S
GENOME_0518,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,5,4,2,8,5,1,2,8,3,6,0,9,8,0.13,0.88,0.74,0.71,0.8,0.4,0.12,0.49,0.14,0.57,S,S,S
GENOME_0519,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,8,2,5,9,2,3,4,2,3,4,5,3,1,3,2,0.48,0.44,0.9,0.72,0.05,0.94,0.06,0.24,0.16,0.95,S,S,S
GENOME_0520,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,3,4,5,5,1,2,5,2,2,5,0,6,1,5,2,0.2,0.9,0.24,0.33,0.53,0.87,0.42,0.47,0.04,0.82,S,R,R
GENOME_0521,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,6,1,8,5,3,6,7,1,6,10,5,0,2,3,4,0.06,0.54,0.76,0.65,0.31,0.85,0.25,0.39,0.02,0.72,S,R,R
GENOME_0522,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,4,0,3,8,2,8,1,0,8,5,4,5,1,9,1,0.27,0.77,0.12,0.32,0.41,0.77,0.26,0.45,0.12,0.86,I,S,I
GENOME_0523,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,8,0,6,9,3,8,1,1,5,6,4,6,2,6,3,0.18,0.55,0.98,0.67,0.03,0.79,0.1,0.21,0.01,0.81,I,S,S
GENOME_0524,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,8,4,2,5,3,7,3,3,2,8,1,2,1,2,2,0.4,0.94,0.62,0.68,0.49,0.75,0.12,0.24,0.22,0.94,S,I,S
GENOME_0525,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,5,2,7,7,0,2,1,0,8,7,1,7,2,7,10,0.25,0.4,0.4,0.68,0.07,0.86,0.21,0.21,0.07,0.98,S,I,R
GENOME_0526,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,4,3,1,2,2,5,4,3,0,7,0,7,0,7,5,0.26,0.48,0.32,0.62,0.52,0.81,0.12,0.71,0.19,0.6,S,R,S
GENOME_0527,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,9,0,1,3,2,1,7,2,4,8,1,7,2,2,0,0.08,0.93,0.84,0.57,0.48,0.95,0.12,0.69,0.0,0.92,S,S,S
GENOME_0528,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,4,6,3,5,5,0,10,5,6,10,2,6,4,0.72,0.73,0.75,0.63,0.24,0.78,0.13,0.65,0.17,0.59,S,S,S
GENOME_0529,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,3,1,0,5,3,4,3,3,10,5,0,4,1,0,10,0.16,0.53,0.66,0.14,0.49,0.84,0.56,0.57,0.23,0.98,I,S,S
GENOME_0530,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,4,5,0,4,0,3,6,3,9,5,4,6,1,4,10,0.33,0.56,0.6,0.55,0.29,0.78,0.08,0.34,0.18,0.79,S,S,S
GENOME_0531,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,8,4,2,7,4,2,4,3,9,5,6,4,0,8,3,0.21,0.58,0.24,0.14,0.01,0.89,0.17,0.88,0.2,0.91,R,S,S
GENOME_0532,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,5,7,2,7,5,0,4,9,3,7,2,1,0,0.32,0.92,0.83,0.24,0.45,0.81,0.22,0.73,0.44,0.91,S,S,S
GENOME_0533,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,5,9,2,9,5,3,1,6,3,8,0,2,3,0.43,0.9,0.76,0.19,0.4,0.76,0.28,0.54,0.07,0.89,S,S,S
GENOME_0534,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,2,2,7,3,0,5,2,0,4,5,6,10,1,3,6,0.15,0.99,0.67,0.5,0.08,0.91,0.21,0.53,0.17,0.96,S,S,I
GENOME_0535,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,5,6,8,0,8,2,0,0,9,2,3,2,1,2,0.19,0.97,0.31,0.1,0.31,0.94,0.19,0.44,0.06,0.98,S,R,S
GENOME_0536,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,6,0,0,8,4,2,4,3,0,5,5,3,0,9,4,0.36,0.52,0.69,0.53,0.2,0.72,0.26,0.69,0.56,0.71,S,I,R
GENOME_0537,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,4,0,3,3,4,3,2,10,3,2,10,1,5,7,0.38,0.79,0.29,0.57,0.06,0.78,0.21,0.5,0.31,0.92,S,S,S
GENOME_0538,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,3,7,2,3,5,1,3,3,2,6,1,4,10,0.43,0.83,0.47,0.23,0.81,0.93,0.15,0.51,0.08,0.97,S,S,S
GENOME_0539,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,10,2,0,6,3,5,5,1,5,9,3,6,0,4,2,0.05,0.59,0.56,0.47,0.46,0.97,0.22,0.66,0.11,0.76,R,S,S
GENOME_0540,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,3,2,1,4,0,10,5,1,10,2,7,2,0.32,0.72,0.69,0.42,0.01,0.81,0.06,0.51,0.14,0.31,S,S,S
GENOME_0541,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,8,3,0,10,0,5,3,3,1,10,6,7,0,5,10,0.75,0.54,0.22,0.39,0.01,0.6,0.29,0.34,0.12,0.7,R,R,I
GENOME_0542,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,9,4,2,9,0,2,6,1,4,7,0,6,1,0,7,0.34,0.75,0.97,0.34,0.43,0.83,0.45,0.31,0.0,0.8,S,I,S
GENOME_0543,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,8,4,1,8,0,7,1,1,10,4,3,6,2,0,2,0.31,0.98,0.9,0.67,0.05,0.8,0.08,0.5,0.18,0.64,S,R,S
GENOME_0544,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,2,5,7,7,4,9,6,3,9,3,2,5,2,9,1,0.14,0.89,0.52,0.55,0.07,0.85,0.09,0.34,0.03,0.9,S,I,R
